[2020-11-11 15:11:24] production.INFO: 2::Dinesh::43.248.71.197===>Retailcore\BarcodePrinting\Http\Controllers\barcodeprinting\BarcodePrintingController::GenerateBarcode Line No 799
  
[2020-11-11 15:11:24] production.INFO: 2::Dinesh::43.248.71.197===>Retailcore\BarcodePrinting\Http\Controllers\barcodeprinting\BarcodePrintingController::barcode_product_detail Line No 684
  
[2020-11-11 15:11:25] production.INFO: 2::Dinesh::43.248.71.197===>Retailcore\BarcodePrinting\Http\Controllers\barcodeprinting\BarcodePrintingController::GenerateBarcode Line No 799
  
[2020-11-11 15:11:25] production.INFO: 2::Dinesh::43.248.71.197===>Retailcore\BarcodePrinting\Http\Controllers\barcodeprinting\BarcodePrintingController::barcode_product_detail Line No 684
  
[2020-11-11 15:11:25] production.INFO: 2::Dinesh::43.248.71.197===>Retailcore\BarcodePrinting\Http\Controllers\barcodeprinting\BarcodePrintingController::GenerateBarcode Line No 799
  
[2020-11-11 15:12:26] production.INFO: 2::Dinesh::43.248.71.197===>Retailcore\BarcodePrinting\Http\Controllers\barcodeprinting\BarcodePrintingController::BarcodePrintingSticker Line No 194
  
[2020-11-11 15:12:26] production.INFO: 2::Dinesh::43.248.71.197===>Retailcore\BarcodePrinting\Http\Controllers\barcodeprinting\BarcodePrintingController::BarcodePrintingSticker Line No 194
  
[2020-11-11 15:12:26] production.INFO: 2::Dinesh::43.248.71.197===>Retailcore\BarcodePrinting\Http\Controllers\barcodeprinting\BarcodePrintingController::fetchTemplateData Line No 785
  
[2020-11-11 15:12:27] production.INFO: 2::Dinesh::43.248.71.197===>Retailcore\BarcodePrinting\Http\Controllers\barcodeprinting\BarcodePrintingController::barcode_product_detail Line No 684
  
[2020-11-11 15:12:27] production.INFO: 2::Dinesh::43.248.71.197===>Retailcore\BarcodePrinting\Http\Controllers\barcodeprinting\BarcodePrintingController::GenerateBarcode Line No 799
  
[2020-11-11 15:12:27] production.INFO: 2::Dinesh::43.248.71.197===>Retailcore\BarcodePrinting\Http\Controllers\barcodeprinting\BarcodePrintingController::barcode_product_detail Line No 684
  
